id,BJCcode,grid,x1,y1,x2,y2,x3,y3,x4,y4
1,BJC25001,235-b,585516.952,2329984.427,586599.501,2329990.05,586605.529,2328836.765,585522.904,2328831.143
2,BJC25003,235-c,586599.501,2329990.05,587682.053,2329995.745,587688.156,2328842.457,586605.529,2328836.765
3,BJC25013,236-a,587682.053,2329995.745,588764.607,2330001.51,588770.785,2328848.219,587688.156,2328842.457
3,BJJC2015,236-b,588764.607,2330001.51,589847.163,2330007.346,589853.417,2328854.053,588770.785,2328848.219
5,BJC25021,235-e,585522.904,2328831.143,586605.529,2328836.765,586611.553,2327683.48,585528.853,2327677.861
6,BJC25025,235-f,586605.529,2328836.765,587688.156,2328842.457,587694.256,2327689.17,586611.553,2327683.48
7,BJC25032,236-d,587688.156,2328842.457,588770.785,2328848.219,588776.96,2327694.93,587694.256,2327689.17
8,BJC25050,236-e,588770.785,2328848.219,589853.417,2328854.053,589859.667,2327700.761,588776.96,2327694.93
9,BJC25056,235-h,585528.853,2327677.861,586611.553,2327683.48,586617.575,2326530.197,585534.799,2326524.58
10,BJC25057,235-k,586611.553,2327683.48,587694.256,2327689.17,587700.353,2326535.884,586617.575,2326530.197
11,BJC25060,236-g,587694.256,2327689.17,588776.96,2327694.93,588783.133,2326541.643,587700.353,2326535.884
12,BJC25067,236-h,588776.96,2327694.93,589859.667,2327700.761,589865.915,2326547.471,588783.133,2326541.643
13,BJC25080,251-b,585534.799,2326524.58,586617.575,2326530.197,586623.593,2325376.915,585540.743,2325371.301
14,BJC25085,251-c,586617.575,2326530.197,587700.353,2326535.884,587706.447,2325382.6,586623.593,2325376.915
15,BJC25088,252-a,587700.353,2326535.884,588783.133,2326541.643,588789.302,2325388.356,587706.447,2325382.6
16,BJC25089,252-b,588783.133,2326541.643,589865.915,2326547.471,589872.159,2325394.183,588789.302,2325388.356
17,BJC25093,251-e,585540.743,2325371.301,586623.593,2325376.915,586629.609,2324223.635,585546.683,2324218.023
18,BJC25099,251-f,586623.593,2325376.915,587706.447,2325382.6,587712.538,2324229.318,586629.609,2324223.635
19,BJC25104,252-d,587706.447,2325382.6,588789.302,2325388.356,588795.468,2324235.071,587712.538,2324229.318
20,BJC25108,252-g,587712.538,2324229.318,588795.468,2324235.071,588801.632,2323081.788,587718.626,2323076.036
21,BJC23042,251-h,585546.683,2324218.023,586629.609,2324223.635,586635.622,2323070.356,585552.621,2323064.746
22,BJC24062,251-k,586629.609,2324223.635,587712.538,2324229.318,587718.626,2323076.036,586635.622,2323070.356
23,sample,252-h,588795.468,2324235.071,589878.401,2324240.895,589884.639,2323087.609,588801.632,2323081.788