fid,P13_001,P13_002,P13_003,P13_004,P13_005,P13_006,P13_007,P13_008,P13_009,P13_010,radius,_LST_farme,_LST_far_1,_LST_nearm,_LST_nea_1,dif_LST,log10_area
63,大阪府,大阪市,桜之宮,4,大阪府,大阪市,1923,227351,2,,269.013,40.092289246426816,41.214838849468293,39.493240646887067,39.466418123017917,0.599,5.357
68,大阪府,大阪市,東野田,1,大阪府,大阪市,1959,3418,1,,32.985,42.260452381284985,42.217510436386874,42.026370092531046,41.922933858453234,0.234,3.534
650,大阪府,大阪市,鴫野の森,1,大阪府,大阪市,1998,1200,2,,19.544,42.898216161459317,43.248444542317571,43.395454792245701,43.427985141429190,-0.497,3.079
64,大阪府,大阪市,都島,2,大阪府,大阪市,1929,12224,1,,62.378,44.847075176061381,44.849985776992838,43.552262843359912,43.559985502106088,1.295,4.087
67,大阪府,大阪市,京橋,1,大阪府,大阪市,1956,6662,1,,46.050,42.234207832623376,42.197510765826166,41.909516570608574,41.931582539580887,0.325,3.824
83,大阪府,大阪市,東都島,1,大阪府,大阪市,1982,1137,2,,19.024,44.931256171290499,45.005682026470083,44.839809112340568,44.874996383038081,0.091,3.056
72,大阪府,大阪市,都島北通,1,大阪府,大阪市,1966,773,1,,15.686,45.177626120804256,45.249144178206166,44.892624482528277,44.879559261062298,0.285,2.888
69,大阪府,大阪市,桜之宮東,1,大阪府,大阪市,1960,8317,1,,51.453,44.793155913446505,44.685718768379161,43.922683746708699,43.945168491603539,0.870,3.920
632,大阪府,大阪市,榎並,1,大阪府,大阪市,1977,884,2,,16.775,45.119465106045894,45.171765109748833,45.550142502207819,45.466604204387011,-0.431,2.946
634,大阪府,大阪市,新喜多,1,大阪府,大阪市,1979,1073,1,,18.481,43.881358786748343,44.303505667077303,44.147705496643198,44.264207419083789,-0.266,3.031
654,大阪府,大阪市,蒲生二ふれあい,12,大阪府,大阪市,2007,2018,2,,25.345,44.806469760986843,44.731823967062837,45.085438300103903,45.017510228128174,-0.279,3.305
623,大阪府,大阪市,野江,1,大阪府,大阪市,1963,1464,1,,21.587,44.284542238176407,44.362309448264057,44.378057132333574,44.375188333043440,-0.094,3.166
39,大阪府,大阪市,国分寺,1,大阪府,大阪市,1961,1319,1,,20.490,44.347737687838176,44.480742159680545,44.463099537621538,44.388336960535526,-0.115,3.120
22,大阪府,大阪市,鶴満寺,1,大阪府,大阪市,1950,2519,1,,28.316,42.652447430098455,42.567563715884653,42.591785956148115,42.654391038049653,0.061,3.401
32,大阪府,大阪市,東天満,1,大阪府,大阪市,1956,1800,1,,23.937,39.414541177086591,39.954038796941006,39.299776540108191,38.949761110655686,0.115,3.255
54,大阪府,大阪市,長柄東,2,大阪府,大阪市,1986,12439,1,,62.924,39.887737161329255,39.989328806341462,39.726676379785921,39.753431009065139,0.161,4.095
74,大阪府,大阪市,中野,1,大阪府,大阪市,1968,1118,1,,18.865,43.908603530657579,44.199746547665029,45.505234151765357,45.575647566117311,-1.597,3.048
73,大阪府,大阪市,かすがえ,1,大阪府,大阪市,1966,2607,1,,28.807,42.800336009393533,44.281135253891762,43.986744168027720,44.333038278214786,-1.186,3.416
87,大阪府,大阪市,都島中央,2,大阪府,大阪市,1990,10000,2,,56.419,43.572978742356611,43.604065104106922,42.062680990550078,42.097675464464174,1.510,4.000
71,大阪府,大阪市,善源寺楠,1,大阪府,大阪市,1962,2910,1,,30.435,42.312262057443469,42.398216094201217,43.442710070647621,43.132325027792746,-1.130,3.464
70,大阪府,大阪市,善源寺,1,大阪府,大阪市,1961,1264,1,,20.059,44.314000378818271,44.371649325338296,44.911205056254083,44.922820949168909,-0.597,3.102
86,大阪府,大阪市,中野南,1,大阪府,大阪市,1987,1451,1,,21.491,44.179295149731793,44.314416066827448,44.163239041771902,44.265535728379923,0.016,3.162
88,大阪府,大阪市,都島南通,1,大阪府,大阪市,1992,1614,1,,22.666,45.525902123675671,45.643346536275544,45.672816381180141,45.628386196459246,-0.147,3.208
77,大阪府,大阪市,都島北一,1,大阪府,大阪市,1975,800,2,,15.958,44.757902663658285,45.130244484028957,44.678733856349893,44.795516025271581,0.079,2.903
75,大阪府,大阪市,敷島,1,大阪府,大阪市,1971,891,2,,16.841,45.448507678946619,45.549217179315633,45.629512115672121,45.656359470128677,-0.181,2.950
81,大阪府,大阪市,毛馬南,12,大阪府,大阪市,1980,3000,1,,30.902,42.986646094346185,43.247751205323226,43.178815082530477,43.078897346274800,-0.192,3.477
82,大阪府,大阪市,友渕中央,2,大阪府,大阪市,1982,10000,2,,56.419,42.827630583208048,42.826942575850921,42.572645204106998,42.500167660489751,0.255,4.000
85,大阪府,大阪市,毛馬東,1,大阪府,大阪市,1985,1036,2,,18.160,43.486947315539702,43.478985631579746,43.834118652713883,43.890491643039979,-0.347,3.015
76,大阪府,大阪市,東毛馬,1,大阪府,大阪市,1973,777,1,,15.727,44.301025559696569,44.573395265639419,44.211606484663925,44.235177008195819,0.089,2.890
84,大阪府,大阪市,城北緑道,12,大阪府,大阪市,1984,8263,1,,51.285,44.958403772848492,44.939171751923965,44.470362997681192,44.394850559881775,0.488,3.917
78,大阪府,大阪市,友渕,1,大阪府,大阪市,1975,2097,1,,25.836,44.294052783033329,44.542332932167199,44.390904576967344,44.415544818053355,-0.097,3.322
599,大阪府,大阪市,赤川南,1,大阪府,大阪市,1991,705,2,,14.980,45.074498530093933,44.996382957085984,45.368099523196555,45.379144556416229,-0.294,2.848
89,大阪府,大阪市,高倉三,1,大阪府,大阪市,1997,785,2,,15.807,45.331662685495537,45.462521861459038,45.842657972008837,46.022130468586425,-0.511,2.895
604,大阪府,大阪市,西浪橋,1,大阪府,大阪市,2004,1940,2,,24.850,44.963624613853597,44.828034309407229,44.307247658766350,44.325625008504232,0.656,3.288
90,大阪府,大阪市,高倉中央,1,大阪府,大阪市,1998,2133,2,,26.057,45.832909359137545,45.703530824624750,46.012863726183127,45.968837644412133,-0.180,3.329
583,大阪府,大阪市,高殿西,1,大阪府,大阪市,1970,991,1,,17.761,45.512270127327710,45.557560168909589,45.947661012867179,45.902540265037509,-0.435,2.996
593,大阪府,大阪市,生江南,1,大阪府,大阪市,1978,1019,1,,18.010,45.428309714296219,45.462200319321994,45.512701190224256,45.520506224692440,-0.084,3.008
602,大阪府,大阪市,生江西,1,大阪府,大阪市,2002,911,2,,17.029,45.053741031956775,45.109815522132187,45.085583106214742,45.144799292178448,-0.032,2.960
65,大阪府,大阪市,内代,1,大阪府,大阪市,1935,6228,1,,44.525,45.346160167267222,45.372194917000421,44.220434496152208,44.328856498603443,1.126,3.794
592,大阪府,大阪市,高殿南,1,大阪府,大阪市,1977,942,1,,17.316,45.319645592679294,45.488805686814374,45.555891407027197,45.582724398586265,-0.236,2.974
600,大阪府,大阪市,生江東,1,大阪府,大阪市,1998,972,1,,17.590,45.085212779000237,45.163230910620427,45.144751706923067,45.069347309174930,-0.060,2.988
594,大阪府,大阪市,高殿南三,1,大阪府,大阪市,1981,897,2,,16.897,44.812093264613587,44.755664802584391,44.598650544788001,44.648677414027446,0.213,2.953
572,大阪府,大阪市,旭,3,大阪府,大阪市,1943,40775,1,,113.926,43.857564033392023,43.789046990175024,41.331883451015251,41.268092272615206,2.526,4.610
80,大阪府,大阪市,毛馬西,1,大阪府,大阪市,1979,2307,1,,27.099,41.598896620564339,41.967959414564234,42.331320613371709,42.074472577719803,-0.732,3.363
91,大阪府,大阪市,蕪村,2,大阪府,大阪市,2009,9982,2,,56.368,39.624608354077537,39.295707099549929,39.524107772091469,40.018091227964760,0.101,3.999
21,大阪府,大阪市,毛馬,3,大阪府,大阪市,1936,65466,1,,144.355,40.342631804519847,40.555238293890021,38.174126355657243,37.797446278936974,2.169,4.816
79,大阪府,大阪市,毛馬北,1,大阪府,大阪市,1978,1292,1,,20.279,40.620451640172178,41.845897647740117,41.283527313500912,41.340331889789979,-0.663,3.111
66,大阪府,大阪市,毛馬中央,1,大阪府,大阪市,1941,7338,2,,48.330,42.698965425999994,42.624068247291177,42.299351993541322,42.195082215980683,0.400,3.866
591,大阪府,大阪市,赤川,1,大阪府,大阪市,1977,653,1,,14.417,41.745140892443182,42.750503076110739,42.989165791311670,43.090517662662137,-1.244,2.815
569,大阪府,大阪市,城北,4,大阪府,大阪市,1934,95207,1,,174.084,39.047290549981241,39.626482983445271,38.110664292995487,38.167474067812066,0.937,4.979
52,大阪府,大阪市,西天満若松浜,1,大阪府,大阪市,1977,1376,2,,20.928,40.630990193852142,40.678281982504416,40.353981485672406,40.593436483412518,0.277,3.139
19,大阪府,大阪市,中之島,9,大阪府,大阪市,1891,90885,1,,170.087,40.411082846576747,40.466692848980529,39.817759356021213,39.719189826244929,0.593,4.958
62,大阪府,大阪市,西天満どんぐり,1,大阪府,大阪市,2005,948,2,,17.371,41.979561104788857,42.092540473504243,42.173976280546427,42.170489134878096,-0.194,2.977
40,大阪府,大阪市,滝川,1,大阪府,大阪市,1961,5716,1,,42.655,43.043823865435037,43.003525993717744,42.885355756828751,42.853082913399874,0.158,3.757
27,大阪府,大阪市,南天満,2,大阪府,大阪市,1953,21430,2,,82.592,39.906742721622365,40.430063660081601,39.837187077698573,40.182317823362439,0.070,4.331
504,大阪府,大阪市,千間川,1,大阪府,大阪市,1972,1812,1,,24.016,43.152406640465458,42.699136860079818,42.368606004562139,42.275909000577087,0.784,3.258
609,大阪府,大阪市,白山,1,大阪府,大阪市,1940,992,2,,17.770,42.814560042558583,42.578547446889637,41.646110489231027,41.448890811022352,1.168,2.997
635,大阪府,大阪市,鴫野,2,大阪府,大阪市,1979,9888,1,,56.102,43.037255798175288,42.988173534710967,42.280572632589639,42.377148955754421,0.757,3.995
631,大阪府,大阪市,鴫野西,1,大阪府,大阪市,1976,1838,1,,24.188,41.746780921719044,41.926902543773451,40.690113256603127,40.474889738530663,1.057,3.264
637,大阪府,大阪市,中浜,1,大阪府,大阪市,1980,3480,1,,33.282,44.234800800821816,44.590098386621861,45.175818974753874,45.291166079965507,-0.941,3.542
642,大阪府,大阪市,中浜中央,1,大阪府,大阪市,1986,2294,2,,27.022,45.157834688567675,45.141072640848613,45.287343951973405,45.119953575717773,-0.130,3.361
638,大阪府,大阪市,鴫野北,1,大阪府,大阪市,1982,1415,1,,21.223,44.096594429794173,44.407611903701827,44.487094095114962,44.463677629241573,-0.390,3.151
58,大阪府,大阪市,中之島西,1,大阪府,大阪市,1992,5788,2,,42.923,37.959099622151427,37.913908767350051,38.030638621667165,38.025946851620802,-0.072,3.763
56,大阪府,大阪市,中之島緑道,12,大阪府,大阪市,1989,4396,1,,37.407,38.530898080372026,38.492269065930770,37.991241519828833,38.055589553031410,0.540,3.643
51,大阪府,大阪市,堂島,1,大阪府,大阪市,1977,2798,2,,29.843,40.150718586189207,40.201523242643162,38.979947193257914,38.934179975380779,1.171,3.447
49,大阪府,大阪市,大淀西,1,大阪府,大阪市,1975,2237,2,,26.684,42.235489536102335,43.156433506341273,43.503692945525707,43.953842210754118,-1.268,3.350
60,大阪府,大阪市,大淀中５,1,大阪府,大阪市,1998,668,2,,14.582,44.015101158043741,44.166699285286370,44.432379964914965,44.543554082206526,-0.417,2.825
23,大阪府,大阪市,浦江,2,大阪府,大阪市,1951,20497,1,,80.774,42.673688671910647,42.991248001994904,41.351030163465730,41.247911979801643,1.323,4.312
38,大阪府,大阪市,大淀北,1,大阪府,大阪市,1960,2469,1,,28.034,42.863895521051177,43.028335177212170,42.987270137238397,43.018011523905130,-0.123,3.393
35,大阪府,大阪市,大淀南,1,大阪府,大阪市,1958,2552,1,,28.501,41.825068327923482,41.969150534801912,41.861218915922450,41.645608561658555,-0.036,3.407
31,大阪府,大阪市,大淀中,1,大阪府,大阪市,1956,5391,1,,41.425,41.497174799607045,41.583894837460178,40.558615879858323,40.275354118121783,0.939,3.732
61,大阪府,大阪市,西梅田,1,大阪府,大阪市,1998,6400,2,,45.135,40.290198462393704,40.388028305579837,40.760831088576950,40.780742426146958,-0.471,3.806
26,大阪府,大阪市,中津南,1,大阪府,大阪市,1953,2702,2,,29.327,41.197553469610305,41.398918568637725,41.347019757711230,41.300741177470286,-0.149,3.432
57,大阪府,大阪市,中津中央,1,大阪府,大阪市,1991,4192,1,,36.529,43.556158628167502,43.538813759040551,43.474761483773491,43.301238464857960,0.081,3.622
377,大阪府,大阪市,淀川,1,大阪府,大阪市,1963,8483,1,,51.964,38.134981960517472,39.385530670753383,38.847609105242270,38.912131888398392,-0.713,3.929
645,大阪府,大阪市,成育南,1,大阪府,大阪市,1987,1054,2,,18.317,43.749632554333793,43.632928985262197,43.225086611948299,43.311824817463446,0.525,3.023
644,大阪府,大阪市,成育西,1,大阪府,大阪市,1987,1331,2,,20.583,44.414508366464638,44.888688147275786,44.517611637407441,44.716184787084131,-0.103,3.124
629,大阪府,大阪市,蒲生南,1,大阪府,大阪市,1971,837,2,,16.323,45.096101343937221,45.297883175209613,45.574272448915885,45.587471711605531,-0.478,2.923
636,大阪府,大阪市,蒲生中,1,大阪府,大阪市,1980,994,1,,17.788,45.098258474404354,45.035102828203350,45.206080290022967,45.453059264168019,-0.108,2.997
612,大阪府,大阪市,成育,1,大阪府,大阪市,1943,4119,1,,36.209,45.749292128303402,45.939046215631720,44.944959610111631,44.863111795803377,0.804,3.615
607,大阪府,大阪市,蒲生,2,大阪府,大阪市,1936,16505,1,,72.482,43.517650970086549,43.823077307551529,42.580627002865178,42.581945785018576,0.937,4.218
611,大阪府,大阪市,西関目,1,大阪府,大阪市,1943,5213,2,,40.735,45.766855436074302,45.712502931048391,44.893229930036611,44.795672857013471,0.874,3.717
626,大阪府,大阪市,鯰江北,1,大阪府,大阪市,1970,1770,1,,23.736,45.828334929618094,46.102489038972010,46.635233611417775,46.815319130400866,-0.807,3.248
25,大阪府,大阪市,豊崎西,1,大阪府,大阪市,1953,5652,1,,42.416,41.222460782553163,41.219531314640790,41.478444945868077,41.454681098630374,-0.256,3.752
33,大阪府,大阪市,豊崎南,1,大阪府,大阪市,1958,1344,1,,20.684,41.551347247979663,41.562137653156128,41.896558272389832,41.840307288432143,-0.345,3.128
46,大阪府,大阪市,豊崎東,1,大阪府,大阪市,1971,7592,1,,49.159,42.490339330377530,42.590953144294360,40.901783018520014,40.756959278462915,1.589,3.880
50,大阪府,大阪市,済美,1,大阪府,大阪市,1977,702,2,,14.948,44.764652444998298,44.759976019205169,45.853088213855713,45.861937776433813,-1.088,2.846
53,大阪府,大阪市,本庄南,1,大阪府,大阪市,1977,730,1,,15.244,44.371320578499684,44.540719540743339,44.835625076083595,44.838806052692291,-0.464,2.863
44,大阪府,大阪市,野崎,1,大阪府,大阪市,1963,5572,1,,42.114,42.070469916278711,42.259863591197870,41.074118627243998,40.663140746368867,0.996,3.746
48,大阪府,大阪市,浮田,1,大阪府,大阪市,1975,847,1,,16.420,44.201290968968273,44.039440992091755,44.094687183023197,44.068596643501223,0.107,2.928
30,大阪府,大阪市,西天満,1,大阪府,大阪市,1956,2482,1,,28.108,42.305729135573998,42.296896566654709,42.587995629423965,42.596696658262090,-0.282,3.395
45,大阪府,大阪市,黒崎町,1,大阪府,大阪市,1968,1800,1,,23.937,45.160032596499775,45.410618058496993,46.280118824914425,46.219844241025498,-1.120,3.255
20,大阪府,大阪市,扇町,3,大阪府,大阪市,1923,73195,1,,152.639,43.095892628550054,42.990033547898918,40.830148692997213,40.835604676693436,2.266,4.864
43,大阪府,大阪市,与力町,1,大阪府,大阪市,1963,8608,1,,52.345,43.133308946237705,43.108839066163654,42.771024688808282,42.657389148257835,0.362,3.935
41,大阪府,大阪市,菅北,1,大阪府,大阪市,1962,1833,1,,24.155,43.678529039080090,43.865354183484897,43.708601333684364,43.640917905957451,-0.030,3.263
595,大阪府,大阪市,高殿南四,1,大阪府,大阪市,1982,993,2,,17.779,45.579711843910346,45.695915772598511,45.596675812020734,45.586775516380385,-0.017,2.997
605,大阪府,大阪市,高殿７,1,大阪府,大阪市,2004,2361,2,,27.414,45.356550631337697,45.370230868160611,45.712331376892230,45.729781516085154,-0.356,3.373
630,大阪府,大阪市,関目駅前小,1,大阪府,大阪市,1974,641,2,,14.284,45.179652284087354,45.198043628085799,44.459601960862443,44.433952931185331,0.720,2.807
372,大阪府,大阪市,十三,3,大阪府,大阪市,1937,27979,1,,94.372,42.450663181965986,42.384917969717208,41.063463109032242,41.153445256572923,1.387,4.447
47,大阪府,大阪市,中津,2,大阪府,大阪市,1972,15681,1,,70.650,40.298006602908821,40.631792836272695,39.584337989704473,39.641942357859079,0.714,4.195
36,大阪府,大阪市,中津東,1,大阪府,大阪市,1958,2643,1,,29.005,41.073908218424457,41.072132238434790,41.458555927454078,41.543128686633679,-0.385,3.422
28,大阪府,大阪市,豊崎中,1,大阪府,大阪市,1953,1259,1,,20.019,41.655032327881727,41.581114222750330,41.470513873543887,41.696478507685583,0.185,3.100
37,大阪府,大阪市,豊崎北,1,大阪府,大阪市,1959,3086,1,,31.342,40.941056183695949,41.643839845679508,41.603351651633623,41.643839845679445,-0.662,3.489
29,大阪府,大阪市,本庄,2,大阪府,大阪市,1956,14134,1,,67.075,42.677641475635063,42.632558853011631,41.798430097935920,41.810089783407079,0.879,4.150
42,大阪府,大阪市,本庄川崎,1,大阪府,大阪市,1962,1290,1,,20.264,43.672114528518328,43.523442279090347,43.649699367134843,43.518698818585563,0.022,3.111
24,大阪府,大阪市,本庄小,1,大阪府,大阪市,1952,2490,1,,28.153,41.789822992336987,42.664426276191193,42.475961293383094,42.519328697587071,-0.686,3.396
34,大阪府,大阪市,長柄,1,大阪府,大阪市,1958,4174,1,,36.450,43.139490360630028,43.774610723006283,43.369416903603607,43.483712940625367,-0.230,3.621
55,大阪府,大阪市,長柄西,1,大阪府,大阪市,1986,1552,1,,22.226,44.289294187756227,44.374966655524190,44.806159437013520,44.816903207620129,-0.517,3.191
624,大阪府,大阪市,鴫野東,1,大阪府,大阪市,1963,3097,1,,31.398,44.912618508993880,44.970408341088437,44.298202518161887,44.249360559343728,0.614,3.491
616,大阪府,大阪市,布屋,1,大阪府,大阪市,1956,1037,1,,18.168,44.837730067833725,44.836514179732035,44.438243502044187,44.359898056916848,0.399,3.016
1297,大阪府,堺市,東上野芝町やまがら公園,1,大阪府,堺市,1984,454,2,,12.021,44.156653692976867,44.209394424201008,44.644626070886289,44.702809296684393,-0.488,2.657
1020,大阪府,堺市,いたすけ公園,2,大阪府,堺市,1971,3478,1,,33.273,42.502265124522886,42.403552477973449,41.917418291357862,41.814938013093183,0.585,3.541
1531,大阪府,堺市,百舌鳥本町やまはなそう公園,1,大阪府,堺市,1994,1549,2,,22.205,43.466241094030110,43.566308786408825,43.510477237020886,43.409373987954496,-0.044,3.190
1556,大阪府,堺市,百舌鳥本町ゆず公園,1,大阪府,堺市,1999,392,2,,11.170,43.605748574200689,43.713404690559344,44.426275837274595,44.189677728994127,-0.821,2.593
1567,大阪府,堺市,百舌鳥本町だわの坂公園,1,大阪府,堺市,2001,1016,2,,17.983,43.457392374821922,43.976545679044392,44.426553478706680,44.431757340969533,-0.969,3.007
1125,大阪府,堺市,陵南北（百舌鳥陵南町第１）公園,1,大阪府,堺市,1979,2249,1,,26.756,44.251233741691969,44.316677213505841,44.260360555321917,44.267760610023487,-0.009,3.352
1568,大阪府,堺市,百舌鳥西之町城之下公園,1,大阪府,堺市,2001,1020,2,,18.019,44.113127322998253,44.414278587670822,44.655325968818069,44.699570188850799,-0.542,3.009
1085,大阪府,堺市,百舌鳥西之町公園,1,大阪府,堺市,1976,514,2,,12.791,44.259497342275075,44.380441250353726,44.264530066597523,44.292670815790643,-0.005,2.711
1126,大阪府,堺市,陵南中央（百舌鳥陵南町第２）公園,2,大阪府,堺市,1979,13361,1,,65.215,43.861774849482487,44.116662363634845,41.601560893981123,41.389414180441975,2.260,4.126
1571,大阪府,堺市,御陵山公園,9,大阪府,堺市,2001,15852,1,,71.034,40.662042350734040,42.436132926948574,38.809346708571141,38.579053318906091,1.853,4.200
1007,大阪府,堺市,梅北公園,1,大阪府,堺市,1965,918,1,,17.094,45.413383953108422,45.578884272389757,45.557847369429382,45.661476455221418,-0.144,2.963
1105,大阪府,堺市,百舌鳥梅町第２公園,1,大阪府,堺市,1977,160,2,,7.136,43.537736204720879,43.779729502353575,43.565065948498933,43.538028362340185,-0.027,2.204
1096,大阪府,堺市,仁山田公園,1,大阪府,堺市,1977,2195,1,,26.433,40.473525789427512,41.420479131825573,39.109245994890657,39.009361262575794,1.364,3.341
1431,大阪府,堺市,梅寿公園,1,大阪府,堺市,1986,1000,2,,17.841,44.687592637237671,44.580560960127002,44.614770810459376,44.589232883825503,0.073,3.000
1022,大阪府,堺市,城の山公園,1,大阪府,堺市,1972,4170,1,,36.433,44.457224768342307,44.481027277000635,44.190541198612891,44.189453600964107,0.267,3.620
1543,大阪府,堺市,向陵東町ぶどう公園,1,大阪府,堺市,1997,367,2,,10.808,44.146481183488675,44.484568500462615,43.699727036379393,43.694007661054769,0.447,2.565
1061,大阪府,堺市,梅町公園,1,大阪府,堺市,1975,6138,1,,44.202,44.760946207545622,44.706480070243970,44.413338328790246,44.413721803012010,0.348,3.788
1430,大阪府,堺市,金口公園,1,大阪府,堺市,1986,1061,2,,18.377,43.499781589329515,43.620444418487182,43.527698898170634,43.583781347223095,-0.028,3.026
1591,大阪府,堺市,黒土みのんだ公園,1,大阪府,堺市,2006,1100,2,,18.712,44.813432056578463,44.946882059078945,45.657518747428561,45.664872874201961,-0.844,3.041
1552,大阪府,堺市,中百舌鳥町れんげそう公園,1,大阪府,堺市,1998,1500,2,,21.851,43.716687480718377,43.731096161276149,43.588905215601450,43.538865081029421,0.128,3.176
1600,大阪府,堺市,長曽根新池公園,1,大阪府,堺市,2007,1159,1,,19.207,44.340817856349773,44.717602405010155,43.167087581680576,43.263012429589935,1.174,3.064
