fid,P13_001,P13_002,P13_003,P13_004,P13_005,P13_006,P13_007,P13_008,P13_009,P13_010,radius,_LST_farme,_LST_far_1,_LST_nearm,_LST_nea_1,dif_LST,log10_area
1084,大阪府,堺市,長曽根辰池公園,1,大阪府,堺市,1976,380,2,,10.998,44.495337148863399,44.982216512939800,44.642257271035042,44.792078843170117,-0.147,2.580
1575,大阪府,堺市,中百舌鳥駅前公園,1,大阪府,堺市,2002,2123,2,,25.996,43.561227464758865,43.390841794079506,42.461317426109034,42.433489346732728,1.100,3.327
1601,大阪府,堺市,長曽根中池公園,1,大阪府,堺市,2007,4935,1,,39.634,44.978102837111749,44.966670772125894,44.619013194590451,44.579577394097328,0.359,3.693
1194,大阪府,堺市,中百舌鳥町みんみんぜみ公園,1,大阪府,堺市,1981,103,2,,5.726,43.257634548276521,43.406179840653863,43.315879384109913,43.191225893089609,-0.058,2.013
1592,大阪府,堺市,長曽根竹ノ内公園,1,大阪府,堺市,2006,1390,1,,21.035,45.347434625374262,45.436951868587784,45.249713516057874,45.233007585882206,0.098,3.143
1661,大阪府,堺市,堺市第５９－０６号公共緑地,1,大阪府,堺市,1985,92,2,,5.412,44.285279536047419,44.281732781352417,44.626630846311194,44.640058453349440,-0.341,1.964
1683,大阪府,堺市,百舌鳥赤畑町かたばみ広場,1,大阪府,堺市,1987,138,2,,6.628,45.510205385701944,45.607095757941806,45.570505983994536,45.556128708481879,-0.060,2.140
1700,大阪府,堺市,中百舌鳥町さわぎく広場,1,大阪府,堺市,1988,90,2,,5.352,43.923262532885687,43.972901103601032,42.999428854270818,43.040880829804678,0.924,1.954
1737,大阪府,堺市,中百舌鳥町あずまぎく広場,1,大阪府,堺市,1991,120,2,,6.180,43.318787479982227,43.422889053648134,43.633927409285249,43.627106363616235,-0.315,2.079
1803,大阪府,堺市,東上野芝町いわつめくさ公園,1,大阪府,堺市,1990,908,2,,17.001,44.319500697609797,44.289585163878542,44.466898145837902,44.394227624109419,-0.147,2.958
1816,大阪府,堺市,百舌鳥梅町しゅんらん公園,1,大阪府,堺市,1995,765,2,,15.605,43.773032310256362,43.866338743455771,43.492637895437774,43.454737500484811,0.280,2.884
1824,大阪府,堺市,百舌鳥陵南町わたすげ広場,1,大阪府,堺市,1992,107,2,,5.836,44.156576208585790,44.368847797645941,44.006403554087171,44.020468017314045,0.150,2.029
1842,大阪府,堺市,百舌鳥赤畑町ちがや広場,1,大阪府,堺市,1995,175,2,,7.464,45.388643566072275,45.245304133942113,45.521243934002293,45.499652550802921,-0.133,2.243
1851,大阪府,堺市,東上野芝町マスカット公園,1,大阪府,堺市,1998,659,2,,14.483,43.988008074388162,44.121508306639839,44.401236984707992,44.361115215992470,-0.413,2.819
1863,大阪府,堺市,百舌鳥本町すだち公園,1,大阪府,堺市,2000,300,2,,9.772,43.841308462700283,44.047168886515237,44.052646901070645,44.039692239821221,-0.211,2.477
1079,大阪府,堺市,金岡町さるびあ公園,1,大阪府,堺市,1976,362,2,,10.734,43.244729761316883,43.388096407669259,44.137929790998584,44.358567147528674,-0.893,2.559
1781,大阪府,堺市,金岡町サフラワー広場,1,大阪府,堺市,2005,131,2,,6.457,44.346201828787009,44.331064142449179,44.732122025494853,44.625104952107336,-0.386,2.117
1701,大阪府,堺市,金岡町ふじばかま広場,1,大阪府,堺市,1988,131,2,,6.457,45.213512716650506,45.686263986142137,45.894156330664948,46.200298921554577,-0.681,2.117
1593,大阪府,堺市,蟻ヶ池公園,1,大阪府,堺市,2006,1700,1,,23.262,44.937987936781077,44.895625922691721,45.233067354767073,45.338438380287272,-0.295,3.230
1289,大阪府,堺市,中百舌鳥町みさご公園,1,大阪府,堺市,1984,1568,2,,22.341,44.039786988886981,44.123377549476288,44.023369923154782,43.870372118660498,0.016,3.195
1602,大阪府,堺市,長曽根森ヶ池公園,1,大阪府,堺市,2007,1400,1,,21.110,45.692920235262534,45.727664350023872,45.823104628667771,45.753598684291575,-0.130,3.146
1603,大阪府,堺市,長曽根東公園,1,大阪府,堺市,2007,999,1,,17.832,45.232476600709006,45.310709802597586,45.469027941051301,45.489557068173553,-0.237,3.000
1606,大阪府,堺市,金岡町セコイア公園,1,大阪府,堺市,2006,2516,2,,28.300,44.813339549019496,44.811582899433397,45.203425438391861,45.208290866048173,-0.390,3.401
1290,大阪府,堺市,中百舌鳥町おおたか公園,1,大阪府,堺市,1984,590,2,,13.704,44.580822278747647,44.751841183435886,44.968998272739114,45.005973650856646,-0.388,2.771
1117,大阪府,堺市,金岡町ゆずりは公園,1,大阪府,堺市,1978,300,2,,9.772,45.827737087236322,45.881884187523667,45.779885849764035,45.779800843375767,0.048,2.477
1608,大阪府,堺市,金岡窪田池（金岡ドリーム）公園,1,大阪府,堺市,2007,6785,1,,46.473,45.661361923050833,45.756930258612016,45.366083800547003,45.248293656013630,0.295,3.832
1594,大阪府,堺市,金岡おおいけ公園,1,大阪府,堺市,2006,1297,1,,20.319,45.209770402558554,45.329115305311412,44.992709826699183,45.047284758489972,0.217,3.113
1262,大阪府,堺市,金岡町かわせみ公園,1,大阪府,堺市,1983,230,2,,8.556,46.029560626642521,46.076764182949574,46.085301883436600,46.297609148943877,-0.056,2.362
1215,大阪府,堺市,金岡町おしどり公園,1,大阪府,堺市,1982,262,2,,9.132,45.351697578612566,45.521881731223715,45.345755482824231,45.459021804935851,0.006,2.418
1144,大阪府,堺市,金岡町なでしこ公園,1,大阪府,堺市,1979,171,2,,7.378,45.626978829346392,45.756930258612016,45.687292373968297,45.841321217892016,-0.060,2.233
1523,大阪府,堺市,新金岡町ブリック公園,1,大阪府,堺市,1992,1319,2,,20.490,44.415825234225117,44.600985333028973,44.905558844904789,44.895882539231422,-0.490,3.120
1067,大阪府,堺市,金岡町えびね公園,1,大阪府,堺市,1974,273,2,,9.322,44.990604801872919,44.976214533521670,45.231684128171459,45.249204086722216,-0.241,2.436
1632,大阪府,堺市,堺市第５６－０８号公共緑地,1,大阪府,堺市,1982,22,2,,2.646,45.296885659008304,45.471975934471402,45.210574874566234,45.186331384709831,0.086,1.342
1831,大阪府,堺市,金岡町いわいちょう広場,1,大阪府,堺市,1994,156,2,,7.047,44.467442623601997,44.740541511617323,45.637687913592579,45.600541279866889,-1.170,2.193
1864,大阪府,堺市,中百舌鳥町マジョラム公園,1,大阪府,堺市,2006,118,2,,6.129,43.662971286441696,43.914034771600797,43.591477913867763,43.640943780439045,0.071,2.072
1818,大阪府,堺市,蔵前町らんたな公園,1,大阪府,堺市,1992,293,2,,9.657,44.611043458249640,44.603074942818608,44.547754760060961,44.554265030304265,0.063,2.467
1092,大阪府,堺市,金岡町いちょう公園,1,大阪府,堺市,1977,750,2,,15.451,44.553345194422505,44.783160341034375,44.300330793913311,44.280255706040151,0.253,2.875
1044,大阪府,堺市,おさる公園,1,大阪府,堺市,1969,2071,2,,25.675,43.965416730875369,43.938633783168427,43.447329633244486,43.477431823255507,0.518,3.316
1059,大阪府,堺市,第２北花田公園,1,大阪府,堺市,1976,2498,1,,28.198,45.376946282289303,45.435010837957179,44.866562318231750,44.851868368889882,0.510,3.398
1040,大阪府,堺市,とら公園,1,大阪府,堺市,1969,1840,2,,24.201,43.262214506848025,43.492946541409715,43.326608347842466,43.422099737680469,-0.064,3.265
1013,大阪府,堺市,常磐西公園,1,大阪府,堺市,1969,2836,2,,30.045,44.407661818255889,44.512451121431326,44.232265691868953,44.026373586029138,0.175,3.453
1042,大阪府,堺市,おうま公園,1,大阪府,堺市,1969,1709,2,,23.324,43.851188921856448,43.754351683725787,43.264904771526496,43.298054728180468,0.586,3.233
1819,大阪府,堺市,北花田町いわなし公園,1,大阪府,堺市,1994,424,2,,11.617,44.633843018113893,44.635012627411442,44.632269994184405,44.742397452325299,0.002,2.627
1722,大阪府,堺市,常磐町まつばぎく広場,1,大阪府,堺市,1989,143,2,,6.747,42.428270124786138,43.993144936470998,43.610288433800342,44.245740773155084,-1.182,2.155
1036,大阪府,堺市,金岡東第２（光竜寺）公園,2,大阪府,堺市,1969,16921,1,,73.390,43.084373945943163,43.114347400793690,41.597495886306909,41.317806663927911,1.487,4.228
1017,大阪府,堺市,常磐東公園,1,大阪府,堺市,1970,1599,1,,22.561,42.225498651995949,43.382302391592191,43.100076675597819,43.312182840105606,-0.875,3.204
1097,大阪府,堺市,第１北花田公園,1,大阪府,堺市,1977,2509,1,,28.260,45.203720727947633,45.143320145305381,44.711857994059073,44.635831688640245,0.492,3.400
1037,大阪府,堺市,金岡東第３（金岡東）公園,2,大阪府,堺市,1969,16387,1,,72.223,44.625039809906589,44.529218722746180,43.453038357533948,43.381853265268262,1.172,4.214
1525,大阪府,堺市,船堂公園,2,大阪府,堺市,1993,18544,1,,76.829,44.261149723600028,44.500758976427448,43.024018593655526,42.896051010965891,1.237,4.268
1045,大阪府,堺市,きりん公園,1,大阪府,堺市,1969,1494,2,,21.807,45.728238543429669,45.798881177594922,45.640761222629614,45.563596722151267,0.087,3.174
1043,大阪府,堺市,ひつじ公園,1,大阪府,堺市,1969,1613,2,,22.659,44.029395353924961,43.996938046240984,43.699499616892432,43.721225766288569,0.330,3.208
1844,大阪府,堺市,北花田町しらやまぎく広場,1,大阪府,堺市,1995,112,2,,5.971,44.698960562588837,44.958046688374338,45.018218026762909,45.069529467829625,-0.319,2.049
1098,大阪府,堺市,第３北花田公園,1,大阪府,堺市,1977,5368,1,,41.336,44.578793426573995,44.772719827729361,43.680324041394805,43.511614744395708,0.898,3.730
1195,大阪府,堺市,金岡町くつわむし公園,1,大阪府,堺市,1981,371,2,,10.867,44.773050008990545,44.948960857377415,44.972678127647477,44.970786216167603,-0.200,2.569
1041,大阪府,堺市,うさぎ公園,1,大阪府,堺市,1969,2001,2,,25.238,43.362759370469895,43.452617003937974,43.242940720727077,43.350708202507775,0.120,3.301
1654,大阪府,堺市,堺市第５８－１０号公共緑地,1,大阪府,堺市,1984,71,2,,4.754,44.402470818826885,44.563069766599682,44.162905468538071,44.133987259605981,0.240,1.851
1656,大阪府,堺市,堺市第５８－１４号公共緑地,1,大阪府,堺市,1984,81,2,,5.078,44.966403877232544,45.384091318062531,45.023154910712627,45.078084925512201,-0.057,1.908
1255,大阪府,堺市,金岡町つぐみ公園,1,大阪府,堺市,1982,140,2,,6.676,44.089125969712669,44.849326092472950,44.918985516721861,44.965624728671742,-0.830,2.146
1636,大阪府,堺市,堺市第５６－０９号公共緑地,1,大阪府,堺市,1982,90,2,,5.352,44.984921517260851,45.211636329357702,45.061202407804451,45.211636329357702,-0.076,1.954
1681,大阪府,堺市,金岡町のぎく広場,1,大阪府,堺市,1986,63,2,,4.478,44.631067425876893,44.733861186933638,45.075048719994257,45.055364913414621,-0.444,1.799
4,大阪府,,大泉緑地,6,大阪府,堺市,1972,1015000,1,,568.405,41.548895065319279,43.115544978652451,39.560311201806485,38.528922464699797,1.989,6.006
1553,大阪府,堺市,南花田町さざんか公園,1,大阪府,堺市,1999,187,2,,7.715,45.398004980087912,45.453374093188529,45.624417323811514,45.555692115762611,-0.226,2.272
1214,大阪府,堺市,南花田あねもね公園,1,大阪府,堺市,1982,154,2,,7.001,45.591791583359843,45.597849626183631,45.436351072899861,45.565100606063424,0.155,2.188
1471,大阪府,堺市,南花田町おぐるま公園,1,大阪府,堺市,1988,402,2,,11.312,45.471124629987699,45.466748666603827,45.636633085694569,45.578574847923619,-0.166,2.604
1014,大阪府,堺市,わんわん公園,1,大阪府,堺市,1968,1981,2,,25.111,42.926059754055778,42.785930240158166,42.205381043855787,42.071914904755999,0.721,3.297
1015,大阪府,堺市,ぶうちゃん公園,1,大阪府,堺市,1968,2100,2,,25.854,42.703851228518779,42.716981679189637,42.407248707226216,42.393860473789630,0.297,3.322
978,大阪府,堺市,金岡公園,5,大阪府,堺市,1959,177112,1,,237.437,43.134167974798089,43.083016207742503,42.106137878906239,42.475042870215674,1.028,5.248
1035,大阪府,堺市,金岡東第１（新金岡）公園,2,大阪府,堺市,1969,22720,1,,85.041,42.228719364591157,42.343830361476023,40.683391257620521,40.560594813760019,1.545,4.356
1811,大阪府,堺市,新金岡町おだまき公園,1,大阪府,堺市,1993,675,2,,14.658,42.598508614161368,42.648948231614384,42.727758738086656,42.729058914056395,-0.129,2.829
1038,大阪府,堺市,ぞうさん公園,1,大阪府,堺市,1969,1996,2,,25.206,42.147485813083051,42.262362803443978,41.494009199565994,41.547680536683032,0.653,3.300
1039,大阪府,堺市,もうもう公園,1,大阪府,堺市,1969,1061,2,,18.377,43.426366000447373,43.303239109897731,43.124090244637088,42.914891530271341,0.302,3.026
1726,大阪府,堺市,中長尾町ひめれんげ広場,1,大阪府,堺市,1990,174,2,,7.442,45.175528502003225,45.228422211115429,45.247062595930458,45.397225027401987,-0.072,2.241
1113,大阪府,堺市,新金岡緑地,11,大阪府,堺市,1978,9623,2,,55.345,43.168156162226552,43.052231001020402,42.711196280219390,42.658985422601546,0.457,3.983
1757,大阪府,堺市,蔵前町ピ－チ広場,1,大阪府,堺市,1997,138,2,,6.628,44.308176244781443,44.564286214118056,44.501873126691635,44.524729415558113,-0.194,2.140
1161,大阪府,堺市,蔵前町にしきぎ公園,1,大阪府,堺市,1980,408,2,,11.396,44.131669633604609,43.931524300708759,44.326130372871951,44.196994502690586,-0.194,2.611
1761,大阪府,堺市,蔵前町ビワ広場,1,大阪府,堺市,1998,208,2,,8.137,44.570866470402187,44.612034944845789,44.926867746764209,45.029543943078011,-0.356,2.318
1862,大阪府,堺市,長曽根町ラズベリー公園,1,大阪府,堺市,2000,252,2,,8.956,45.454206303795587,45.478519202929590,45.396355448227169,45.432276419169625,0.058,2.401
1627,大阪府,堺市,堺市第５５－０３号公共緑地,1,大阪府,堺市,1981,70,2,,4.720,44.859540796476963,44.867117110548179,45.396827359857603,45.410821300588793,-0.537,1.845
1083,大阪府,堺市,大豆塚公園,1,大阪府,堺市,1976,389,2,,11.128,45.339168655559277,45.367199252741557,45.346815185694979,45.392855644772169,-0.008,2.590
1639,大阪府,堺市,堺市第５７－０１号公共緑地,1,大阪府,堺市,1982,71,2,,4.754,44.236978666640717,44.313143266833379,44.438030513826362,44.558762453199677,-0.201,1.851
1538,大阪府,堺市,東雲東公園,1,大阪府,堺市,1996,988,2,,17.734,45.472915822421257,45.459205085207003,45.888635573062253,45.893589596552715,-0.416,2.995
1753,大阪府,堺市,新堀町まねきぐさ広場,1,大阪府,堺市,1995,283,2,,9.491,44.096571468896634,44.108608272111269,44.224512147686390,44.255980989200339,-0.128,2.452
1631,大阪府,堺市,堺市第５６－０２号公共緑地,1,大阪府,堺市,1982,88,2,,5.293,43.690833740411918,43.728987999796686,43.247020120902384,43.177558824635810,0.444,1.944
1503,大阪府,堺市,奥本公園,1,大阪府,堺市,1991,1700,2,,23.262,44.498007146040003,44.490398570421974,44.732346522962430,44.628696801587587,-0.234,3.230
1652,大阪府,堺市,堺市第５７－１５号公共緑地,1,大阪府,堺市,1984,72,2,,4.787,44.445217697223043,44.068431064328195,44.029322925273291,44.021606453907054,0.416,1.857
1103,大阪府,堺市,東浅香山町ひまわり公園,1,大阪府,堺市,1977,141,2,,6.699,44.355088789800917,44.171653320973235,44.241892263844797,44.222277442588535,0.113,2.149
979,大阪府,堺市,東浅香山公園,1,大阪府,堺市,1955,1168,1,,19.282,45.407362973096326,45.509470519110749,45.786723291914775,45.790590488480461,-0.379,3.067
980,大阪府,堺市,第２東浅香山公園,1,大阪府,堺市,1955,798,1,,15.938,44.251283894965269,44.132012973112239,44.528574899866015,44.423287720230917,-0.277,2.902
1813,大阪府,堺市,常磐町いわぎく公園,1,大阪府,堺市,1995,2183,2,,26.360,41.838605449005861,42.601222102740309,42.688093217052128,42.743635645103517,-0.849,3.339
1587,大阪府,堺市,常磐町ウォーターリリー公園,1,大阪府,堺市,2004,335,2,,10.326,41.252654081855944,42.309062145621567,41.900409978292181,42.123937715503381,-0.648,2.525
1550,大阪府,堺市,東浅香山町おかりば公園,2,大阪府,堺市,1998,9721,2,,55.626,41.920273634915297,42.399015081655250,42.598224575478667,42.532589927701082,-0.678,3.988
1856,大阪府,堺市,新堀町パンプキン公園,1,大阪府,堺市,1999,425,2,,11.631,43.287558451014917,43.206050469160800,42.829960412423198,42.886835908608248,0.458,2.628
1116,大阪府,堺市,南花田めぎ公園,1,大阪府,堺市,1978,161,2,,7.159,45.442159446953994,45.398943954200803,45.602802993811899,45.611604020747450,-0.161,2.207
1507,大阪府,堺市,中村町公園,1,大阪府,堺市,1992,999,2,,17.832,37.943949634219585,37.599111385888193,37.406788884373867,37.239509967303007,0.537,3.000
374,大阪府,大阪市,塚本,1,大阪府,大阪市,1942,3545,1,,33.592,43.377455095015826,43.378464309700973,43.308433343888069,43.324391261964848,0.069,3.550
376,大阪府,大阪市,新北野,1,大阪府,大阪市,1961,4889,2,,39.449,43.878314667955777,43.846008374400213,43.745770423067285,43.696003308798907,0.133,3.689
402,大阪府,大阪市,塚本南,1,大阪府,大阪市,1983,582,1,,13.611,44.356062680445802,44.427723939498605,45.009103052270014,44.929089347067077,-0.653,2.765
412,大阪府,大阪市,塚本駅前,1,大阪府,大阪市,1997,700,2,,14.927,43.332953686972054,43.380231816472815,43.148965444015232,43.152126056487873,0.184,2.845
378,大阪府,大阪市,加島小,1,大阪府,大阪市,1969,2978,2,,30.788,43.578532692306183,43.531775882898074,43.768142222136184,43.737835379561211,-0.190,3.474
379,大阪府,大阪市,三津屋,1,大阪府,大阪市,1970,5514,1,,41.895,44.146852704705296,44.154533306721504,43.549613219078616,43.561562844846407,0.597,3.741
381,大阪府,大阪市,田川西,1,大阪府,大阪市,1970,1208,1,,19.609,43.827123871580177,44.144639538030503,43.624785903126948,43.596753132434742,0.202,3.082
384,大阪府,大阪市,加島浜,1,大阪府,大阪市,1973,686,2,,14.777,41.187590369861766,42.849946146084619,42.400460875983043,42.649526068046931,-1.213,2.836
391,大阪府,大阪市,加島中,1,大阪府,大阪市,1976,1013,1,,17.957,43.873956763273746,43.910394439467275,43.973742848463488,43.866967746067786,-0.100,3.006
392,大阪府,大阪市,加島北,1,大阪府,大阪市,1976,3251,1,,32.169,43.493285818045877,43.714088986427271,43.224270629718589,43.380274285036677,0.269,3.512
397,大阪府,大阪市,加島西,1,大阪府,大阪市,1981,1243,1,,19.891,42.560986734054730,43.146486541814227,43.374477343109795,43.386267509194454,-0.813,3.094
398,大阪府,大阪市,加島今之町,1,大阪府,大阪市,1981,1114,2,,18.831,44.005517660195707,43.974137891140202,43.491929906960721,43.459463539560659,0.514,3.047
403,大阪府,大阪市,新加島,1,大阪府,大阪市,1984,2436,2,,27.846,42.748709309648021,42.735417141517189,42.268178761813139,42.265155839859375,0.481,3.387
405,大阪府,大阪市,加島中央,2,大阪府,大阪市,1986,7575,1,,49.104,43.193438391814333,43.214608039890550,42.297203846326902,42.176253263792717,0.896,3.879
407,大阪府,大阪市,加島中住宅前,1,大阪府,大阪市,1989,1122,2,,18.898,42.763511053435941,42.872585818811075,43.045004791706198,43.027346974604598,-0.281,3.050
408,大阪府,大阪市,田川,2,大阪府,大阪市,1993,10489,1,,57.782,42.726649741884181,42.745893047548009,41.084173328218327,40.869061935487139,1.642,4.021
410,大阪府,大阪市,三津屋中央,2,大阪府,大阪市,1994,12882,1,,64.035,43.493952686598192,43.697783389738362,42.096246858097430,42.069826159898184,1.398,4.110
413,大阪府,大阪市,加島南,1,大阪府,大阪市,1998,3409,1,,32.941,42.193369740127856,42.314533710415162,41.103590538826666,41.148087729258243,1.090,3.533
419,大阪府,大阪市,加島駅前,1,大阪府,大阪市,2008,3000,2,,30.902,43.094911058073365,43.087779490646909,42.781912918486192,42.787408545140352,0.313,3.477
395,大阪府,大阪市,田川北,1,大阪府,大阪市,1979,2103,1,,25.873,44.015565445883496,44.031928114884977,43.705767047943027,43.732347834662669,0.310,3.323
393,大阪府,大阪市,田川中,1,大阪府,大阪市,1976,2581,2,,28.663,43.355900066483407,43.768383141081927,43.250508233656078,43.308090799702654,0.105,3.412
386,大阪府,大阪市,田川東,1,大阪府,大阪市,1975,2009,1,,25.288,43.431265686704613,43.576656867116128,43.769557334272875,43.890700287908118,-0.338,3.303
375,大阪府,大阪市,十三東,1,大阪府,大阪市,1956,1186,1,,19.430,43.411523168415371,43.343685512897707,42.894147976490402,42.880975425172608,0.517,3.074
406,大阪府,大阪市,木川西,1,大阪府,大阪市,1986,983,1,,17.689,44.966909513087892,45.080383707148002,45.574864044670669,45.696794265032679,-0.608,2.993
399,大阪府,大阪市,木川南,1,大阪府,大阪市,1982,1298,1,,20.326,43.572679837753483,43.741275587964878,43.756378556703645,43.727107516347928,-0.184,3.113
5106,近畿地方整備局,,淀川河川公園,8,大阪府,大阪市,1975,534000,0,,412.283,39.309092510973429,41.636835557420483,38.153685284926048,38.199782530236973,1.155,5.728
415,大阪府,大阪市,新高中央,2,大阪府,大阪市,2000,17066,1,,73.704,40.172814749530296,41.256891645476514,40.628664185984057,40.651069867404175,-0.456,4.232
387,大阪府,大阪市,野中北,1,大阪府,大阪市,1975,1127,2,,18.940,43.447604132773677,43.459545600069987,43.960183720331685,43.975388628988185,-0.513,3.052
380,大阪府,大阪市,新高,1,大阪府,大阪市,1970,2340,1,,27.292,43.328047262387877,43.576810921956650,43.809200023634666,43.776601637327161,-0.481,3.369
414,大阪府,大阪市,新高東,1,大阪府,大阪市,1999,1000,2,,17.841,40.915899004985931,42.033600358799305,40.968680567691912,41.182946614795355,-0.053,3.000
420,大阪府,大阪市,野中北１,1,大阪府,大阪市,2009,3465,2,,33.211,43.608810547212933,43.516023455522657,43.729223254743843,43.739941062936111,-0.120,3.540
409,大阪府,大阪市,野中南,2,大阪府,大阪市,1993,9540,1,,55.106,43.344988396436285,43.279407329124922,42.348971407925646,42.352498610050986,0.996,3.980
418,大阪府,大阪市,三国駅前,1,大阪府,大阪市,2008,1060,2,,18.369,40.411354975576941,40.581531556731960,40.348090870264237,40.446988539703312,0.063,3.025
404,大阪府,大阪市,三国西,1,大阪府,大阪市,1985,1424,2,,21.290,44.288448519326643,44.787091793258810,44.610607130543336,44.511140836214338,-0.322,3.154
390,大阪府,大阪市,三国,1,大阪府,大阪市,1975,1798,1,,23.923,44.326646571502337,44.377471344056346,44.009531716375477,44.042744496019793,0.317,3.255
